model,location,target_type,weights,forecast_date,nmod
UMass-MechBayes,SI,Deaths,0.340697717265584,2021-04-19,3
UMass-MechBayes,SK,Deaths,0.292436329085757,2021-04-19,3
UMass-SemiMech,AT,Cases,0.297628360943856,2021-04-19,3
UMass-SemiMech,AT,Deaths,0.316730648853049,2021-04-19,3
UMass-SemiMech,BE,Cases,0.310273424798308,2021-04-19,3
UMass-SemiMech,BE,Deaths,0.321220404077501,2021-04-19,3
UMass-SemiMech,BG,Cases,0.338861881847901,2021-04-19,3
UMass-SemiMech,BG,Deaths,0.276157836912204,2021-04-19,3
UMass-SemiMech,CY,Deaths,0.301670042862629,2021-04-19,3
UMass-SemiMech,EE,Cases,0.216439085433271,2021-04-19,3
UMass-SemiMech,EE,Deaths,0.342789997812946,2021-04-19,3
UMass-SemiMech,FI,Cases,0.323990917970258,2021-04-19,3
UMass-SemiMech,GR,Cases,0.289926102736157,2021-04-19,3
UMass-SemiMech,HR,Cases,0.322862270709765,2021-04-19,3
UMass-SemiMech,HR,Deaths,0.330337915007529,2021-04-19,3
UMass-SemiMech,HU,Cases,0.210699429357013,2021-04-19,3
UMass-SemiMech,HU,Deaths,0.321129547126502,2021-04-19,3
UMass-SemiMech,IT,Cases,0.233230185675952,2021-04-19,3
UMass-SemiMech,LT,Cases,0.343384894928544,2021-04-19,3
UMass-SemiMech,LT,Deaths,0.353714244948305,2021-04-19,3
UMass-SemiMech,LV,Cases,0.252805132084826,2021-04-19,3
UMass-SemiMech,LV,Deaths,0.327764265051944,2021-04-19,3
UMass-SemiMech,MT,Cases,0.364672112759739,2021-04-19,3
UMass-SemiMech,NO,Cases,0.35220802301166,2021-04-19,3
UMass-SemiMech,PT,Cases,0.308935375554792,2021-04-19,3
UMass-SemiMech,RO,Cases,0.279650471864715,2021-04-19,3
UMass-SemiMech,RO,Deaths,0.238541011646124,2021-04-19,3
UMass-SemiMech,SI,Cases,0.31706570127553,2021-04-19,3
UMass-SemiMech,SI,Deaths,0.302957023580792,2021-04-19,3
UMass-SemiMech,SK,Cases,0.352964296922657,2021-04-19,3
UMass-SemiMech,SK,Deaths,0.31053524986259,2021-04-19,3
UNIPV-BayesINGARCHX,ES,Cases,0.314441035982175,2021-04-19,3
epiforecasts-EpiNow2,AT,Cases,0.394493220383384,2021-04-19,3
epiforecasts-EpiNow2,AT,Deaths,0.419208922587421,2021-04-19,3
epiforecasts-EpiNow2,BG,Cases,0.391844441003924,2021-04-19,3
epiforecasts-EpiNow2,CY,Deaths,0.379301526854231,2021-04-19,3
epiforecasts-EpiNow2,EE,Cases,0.502515869900277,2021-04-19,3
epiforecasts-EpiNow2,FI,Cases,0.399053242744931,2021-04-19,3
epiforecasts-EpiNow2,FI,Deaths,0.293280225035075,2021-04-19,3
epiforecasts-EpiNow2,GR,Deaths,0.356304087908198,2021-04-19,3
epiforecasts-EpiNow2,HR,Deaths,0.381635887841324,2021-04-19,3
epiforecasts-EpiNow2,HU,Cases,0.456427619166639,2021-04-19,3
epiforecasts-EpiNow2,HU,Deaths,0.358646345173839,2021-04-19,3
epiforecasts-EpiNow2,IT,Cases,0.485501576269096,2021-04-19,3
epiforecasts-EpiNow2,IT,Deaths,0.448937210672566,2021-04-19,3
epiforecasts-EpiNow2,LU,Deaths,0.361348489073542,2021-04-19,3
