location,target_type,forecast_date,model,nmod
AT,Cases,2022-01-31,RobertWalraven-ESG,3
AT,Cases,2022-02-07,IEM_Health-CovidProject,3
AT,Cases,2022-02-07,RobertWalraven-ESG,3
AT,Cases,2022-02-07,epiforecasts-weeklygrowth,3
AT,Cases,2022-02-14,IEM_Health-CovidProject,3
AT,Cases,2022-02-14,RobertWalraven-ESG,3
AT,Cases,2022-02-14,epiforecasts-weeklygrowth,3
AT,Cases,2022-02-21,IEM_Health-CovidProject,3
AT,Cases,2022-02-21,RobertWalraven-ESG,3
AT,Cases,2022-02-21,epiforecasts-weeklygrowth,3
AT,Cases,2022-02-28,IEM_Health-CovidProject,3
AT,Cases,2022-02-28,RobertWalraven-ESG,3
AT,Cases,2022-02-28,epiforecasts-weeklygrowth,3
AT,Cases,2022-03-07,IEM_Health-CovidProject,3
AT,Cases,2022-03-07,ILM-EKF,3
AT,Cases,2022-03-07,RobertWalraven-ESG,3
AT,Deaths,2021-04-12,IEM_Health-CovidProject,3
AT,Deaths,2021-04-12,ILM-EKF,3
AT,Deaths,2021-04-12,epiforecasts-EpiNow2,3
AT,Deaths,2021-04-19,IEM_Health-CovidProject,3
AT,Deaths,2021-04-19,epiforecasts-EpiNow2,3
AT,Deaths,2021-04-19,UMass-SemiMech,3
AT,Deaths,2021-04-26,IEM_Health-CovidProject,3
AT,Deaths,2021-04-26,epiforecasts-EpiNow2,3
AT,Deaths,2021-04-26,UMass-SemiMech,3
AT,Deaths,2021-05-03,IEM_Health-CovidProject,3
AT,Deaths,2021-05-03,epiforecasts-EpiNow2,3
AT,Deaths,2021-05-03,UMass-SemiMech,3
AT,Deaths,2021-05-10,RobertWalraven-ESG,3
AT,Deaths,2021-05-10,epiforecasts-EpiExpert,3
AT,Deaths,2021-05-10,epiforecasts-EpiExpert_Rt,3
AT,Deaths,2021-05-17,IEM_Health-CovidProject,3
AT,Deaths,2021-05-17,RobertWalraven-ESG,3
AT,Deaths,2021-05-17,epiforecasts-EpiNow2,3
AT,Deaths,2021-05-24,RobertWalraven-ESG,3
AT,Deaths,2021-05-24,epiforecasts-EpiExpert,3
AT,Deaths,2021-05-24,epiforecasts-EpiNow2,3
AT,Deaths,2021-05-31,RobertWalraven-ESG,3
AT,Deaths,2021-05-31,epiforecasts-EpiNow2,3
AT,Deaths,2021-05-31,UMass-SemiMech,3
AT,Deaths,2021-06-07,IEM_Health-CovidProject,3
AT,Deaths,2021-06-07,RobertWalraven-ESG,3
AT,Deaths,2021-06-07,epiforecasts-EpiNow2,3
AT,Deaths,2021-06-14,IEM_Health-CovidProject,3
AT,Deaths,2021-06-14,ILM-EKF,3
AT,Deaths,2021-06-14,MUNI-ARIMA,3
AT,Deaths,2021-06-21,IEM_Health-CovidProject,3
AT,Deaths,2021-06-21,ILM-EKF,3
AT,Deaths,2021-06-21,MUNI-ARIMA,3
AT,Deaths,2021-06-28,IEM_Health-CovidProject,3
AT,Deaths,2021-06-28,ILM-EKF,3
AT,Deaths,2021-06-28,epiforecasts-EpiNow2,3
AT,Deaths,2021-07-05,IEM_Health-CovidProject,3
AT,Deaths,2021-07-05,ILM-EKF,3
AT,Deaths,2021-07-05,UMass-SemiMech,3
AT,Deaths,2021-07-12,IEM_Health-CovidProject,3
AT,Deaths,2021-07-12,ILM-EKF,3
AT,Deaths,2021-07-12,epiforecasts-EpiNow2,3
AT,Deaths,2021-07-19,IEM_Health-CovidProject,3
AT,Deaths,2021-07-19,ILM-EKF,3
AT,Deaths,2021-07-19,MUNI-ARIMA,3
AT,Deaths,2021-07-26,IEM_Health-CovidProject,3
AT,Deaths,2021-07-26,ILM-EKF,3
AT,Deaths,2021-07-26,UMass-MechBayes,3
AT,Deaths,2021-08-02,ILM-EKF,3
AT,Deaths,2021-08-02,UMass-MechBayes,3
AT,Deaths,2021-08-02,Karlen-pypm,3
AT,Deaths,2021-08-09,RobertWalraven-ESG,3
AT,Deaths,2021-08-09,UMass-MechBayes,3
AT,Deaths,2021-08-09,Karlen-pypm,3
AT,Deaths,2021-08-16,RobertWalraven-ESG,3
AT,Deaths,2021-08-16,epiforecasts-EpiNow2,3
AT,Deaths,2021-08-16,Karlen-pypm,3
AT,Deaths,2021-08-23,RobertWalraven-ESG,3
AT,Deaths,2021-08-23,epiforecasts-EpiNow2,3
AT,Deaths,2021-08-23,Karlen-pypm,3
AT,Deaths,2021-08-30,RobertWalraven-ESG,3
AT,Deaths,2021-08-30,epiforecasts-EpiNow2,3
AT,Deaths,2021-08-30,Karlen-pypm,3
AT,Deaths,2021-09-06,ILM-EKF,3
AT,Deaths,2021-09-06,RobertWalraven-ESG,3
AT,Deaths,2021-09-06,epiforecasts-EpiNow2,3
AT,Deaths,2021-09-13,ILM-EKF,3
AT,Deaths,2021-09-13,epiforecasts-EpiNow2,3
AT,Deaths,2021-09-13,MUNI-ARIMA,3
AT,Deaths,2021-09-20,IEM_Health-CovidProject,3
AT,Deaths,2021-09-20,ILM-EKF,3
AT,Deaths,2021-09-20,MUNI-ARIMA,3
AT,Deaths,2021-09-27,IEM_Health-CovidProject,3
AT,Deaths,2021-09-27,ILM-EKF,3
AT,Deaths,2021-09-27,MUNI-ARIMA,3
AT,Deaths,2021-10-04,IEM_Health-CovidProject,3
AT,Deaths,2021-10-04,ILM-EKF,3
AT,Deaths,2021-10-04,MUNI-ARIMA,3
AT,Deaths,2021-10-11,RobertWalraven-ESG,3
AT,Deaths,2021-10-11,MUNI-ARIMA,3
AT,Deaths,2021-10-11,Karlen-pypm,3
AT,Deaths,2021-10-18,RobertWalraven-ESG,3
AT,Deaths,2021-10-18,MUNI-ARIMA,3
AT,Deaths,2021-10-18,Karlen-pypm,3
AT,Deaths,2021-10-25,RobertWalraven-ESG,3
AT,Deaths,2021-10-25,MUNI-ARIMA,3
AT,Deaths,2021-10-25,Karlen-pypm,3
AT,Deaths,2021-11-01,ILM-EKF,3
AT,Deaths,2021-11-01,MUNI-ARIMA,3
AT,Deaths,2021-11-01,Karlen-pypm,3
AT,Deaths,2021-11-08,ILM-EKF,3
AT,Deaths,2021-11-08,MUNI-ARIMA,3
AT,Deaths,2021-11-08,Karlen-pypm,3
AT,Deaths,2021-11-15,IEM_Health-CovidProject,3
AT,Deaths,2021-11-15,ILM-EKF,3
AT,Deaths,2021-11-15,Karlen-pypm,3
AT,Deaths,2021-11-22,ILM-EKF,3
AT,Deaths,2021-11-22,UMass-MechBayes,3
