model,location,target_type,forecast_date,horizon,wis,overprediction,underprediction,dispersion,bias,interval_coverage_50,interval_coverage_90,ae_median,target_end_date
MUNI_DMS-SEIAR,CZ,Cases,2021-03-15,4,7040.59869565217,4652.13043478261,0,2388.46826086957,0.8,0,1,12875,2021-04-10
epiforecasts-EpiExpert,CZ,Cases,2021-03-15,4,20811.5391304348,16225.8695652174,0,4585.66956521739,0.98,0,0,32051,2021-04-10
epiforecasts-EpiNow2,CZ,Cases,2021-03-15,4,8240.17695652174,2006.73913043478,0,6233.43782608696,0.4,1,1,12447,2021-04-10
EuroCOVIDhub-baseline,CZ,Deaths,2021-03-15,1,49.9469565217391,38.7826086956522,0,11.164347826087,0.7,0,1,78,2021-03-20
IEM_Health-CovidProject,CZ,Deaths,2021-03-15,1,113.220434782609,56.304347826087,0,56.9160869565218,0.6,0,1,211,2021-03-20
ILM-EKF,CZ,Deaths,2021-03-15,1,110.469565217391,8.39130434782609,0,102.078260869565,0.2,1,1,103,2021-03-20
MUNI_DMS-SEIAR,CZ,Deaths,2021-03-15,1,84.6326086956522,0,52.0869565217391,32.5456521739131,-0.7,0,1,158,2021-03-20
RobertWalraven-ESG,CZ,Deaths,2021-03-15,1,141.566086956522,134,0,7.56608695652174,1,0,0,168,2021-03-20
epiforecasts-EpiExpert,CZ,Deaths,2021-03-15,1,136.502608695652,112.478260869565,0,24.024347826087,0.98,0,0,213,2021-03-20
epiforecasts-EpiNow2,CZ,Deaths,2021-03-15,1,30.9486956521739,6.1304347826087,0,24.8182608695652,0.3,1,1,43,2021-03-20
EuroCOVIDhub-baseline,CZ,Deaths,2021-03-15,2,173.379565217391,148.739130434783,0,24.6404347826087,0.9,0,1,277,2021-03-27
IEM_Health-CovidProject,CZ,Deaths,2021-03-15,2,365.248695652174,284.739130434783,0,80.5095652173913,0.95,0,0,603,2021-03-27
ILM-EKF,CZ,Deaths,2021-03-15,2,176.887826086957,56.8260869565217,0,120.061739130435,0.5,1,1,293,2021-03-27
MUNI_DMS-SEIAR,CZ,Deaths,2021-03-15,2,139.858260869565,0,111,28.8582608695652,-0.95,0,0,231,2021-03-27
RobertWalraven-ESG,CZ,Deaths,2021-03-15,2,401.920869565217,393.086956521739,0,8.83391304347826,1,0,0,433,2021-03-27
epiforecasts-EpiExpert,CZ,Deaths,2021-03-15,2,421.904782608696,362.608695652174,0,59.2960869565217,1,0,0,602,2021-03-27
epiforecasts-EpiNow2,CZ,Deaths,2021-03-15,2,134.492608695652,79.9130434782609,0,54.5795652173913,0.8,0,1,246,2021-03-27
EuroCOVIDhub-baseline,CZ,Deaths,2021-03-15,3,287.483913043478,251.391304347826,0,36.0926086956522,0.98,0,0,436,2021-04-03
IEM_Health-CovidProject,CZ,Deaths,2021-03-15,3,627.429130434783,519.739130434783,0,107.69,0.98,0,0,956,2021-04-03
ILM-EKF,CZ,Deaths,2021-03-15,3,233.872608695652,89.6521739130435,0,144.220434782609,0.6,0,1,398,2021-04-03
MUNI_DMS-SEIAR,CZ,Deaths,2021-03-15,3,174.350434782609,0,148.347826086957,26.0026086956522,-0.98,0,0,264,2021-04-03
RobertWalraven-ESG,CZ,Deaths,2021-03-15,3,540.200869565217,530.086956521739,0,10.1139130434783,1,0,0,576,2021-04-03
epiforecasts-EpiExpert,CZ,Deaths,2021-03-15,3,657.757391304348,547.521739130435,0,110.235652173913,1,0,0,961,2021-04-03
epiforecasts-EpiNow2,CZ,Deaths,2021-03-15,3,157.156086956522,55.5217391304348,0,101.634347826087,0.5,1,1,273,2021-04-03
EuroCOVIDhub-baseline,CZ,Deaths,2021-03-15,4,477.459130434783,432.086956521739,0,45.3721739130435,1,0,0,658,2021-04-10
IEM_Health-CovidProject,CZ,Deaths,2021-03-15,4,962.55652173913,826.304347826087,0,136.252173913043,1,0,0,1359,2021-04-10
ILM-EKF,CZ,Deaths,2021-03-15,4,318.308695652174,140.434782608696,0,177.873913043478,0.7,0,1,540,2021-04-10
MUNI_DMS-SEIAR,CZ,Deaths,2021-03-15,4,74.954347826087,0,50.4347826086957,24.5195652173913,-0.8,0,1,136,2021-04-10
RobertWalraven-ESG,CZ,Deaths,2021-03-15,4,695.705652173913,684.347826086957,0,11.3578260869565,1,0,0,736,2021-04-10
epiforecasts-EpiExpert,CZ,Deaths,2021-03-15,4,878.389565217391,714.782608695652,0,163.606956521739,1,0,0,1284,2021-04-10
epiforecasts-EpiNow2,CZ,Deaths,2021-03-15,4,183.569130434783,50.3913043478261,0,133.177826086957,0.5,1,1,299,2021-04-10
DSMPG-bayes,DE,Cases,2021-03-15,1,5605.00652173913,204.695652173913,0,5400.31086956522,0.2,1,1,3568,2021-03-20
EuroCOVIDhub-baseline,DE,Cases,2021-03-15,1,12983.8860869565,0,11614.2173913044,1369.66869565217,-0.9,0,1,19615,2021-03-20
FIAS_FZJ-Epi1Ger,DE,Cases,2021-03-15,1,3494.75304347826,0,1445.39130434783,2049.36173913043,-0.5,1,1,6288,2021-03-20
IEM_Health-CovidProject,DE,Cases,2021-03-15,1,8967.93652173913,0,5201.13043478261,3766.80608695652,-0.7,0,1,17084,2021-03-20
ILM-EKF,DE,Cases,2021-03-15,1,5042.38739130435,0,1859.08695652174,3183.30043478261,-0.5,1,1,9167,2021-03-20
ITWW-county_repro,DE,Cases,2021-03-15,1,6034.91956521739,5018.21739130435,0,1016.70217391304,0.98,0,0,9151,2021-03-20
Karlen-pypm,DE,Cases,2021-03-15,1,4336.82695652174,0,320.304347826087,4016.52260869565,-0.2,1,1,3943,2021-03-20
MIT_CovidAnalytics-DELPHI,DE,Cases,2021-03-15,1,15435.307826087,0,10583.1739130435,4852.13391304348,-0.8,0,1,27891,2021-03-20
UNIPV-BayesINGARCHX,DE,Cases,2021-03-15,1,11929.8265217391,0,7577.21739130435,4352.60913043478,-0.8,0,1,29466,2021-03-20
epiforecasts-EpiExpert,DE,Cases,2021-03-15,1,3620.32652173913,0,1775.91304347826,1844.41347826087,-0.6,0,1,6886,2021-03-20
epiforecasts-EpiNow2,DE,Cases,2021-03-15,1,5901.13434782609,0,864.086956521739,5037.04739130435,-0.3,1,1,7660,2021-03-20
itwm-dSEIR,DE,Cases,2021-03-15,1,3159.75782608696,0,1227.65217391304,1932.10565217391,-0.5,1,1,5734,2021-03-20
DSMPG-bayes,DE,Cases,2021-03-15,2,12859.537826087,0,11.7826086956522,12847.7552173913,-0.1,1,1,271,2021-03-27
EuroCOVIDhub-baseline,DE,Cases,2021-03-15,2,28474.7191304348,0,25702.2173913043,2772.50173913044,-0.98,0,0,41729,2021-03-27
FIAS_FZJ-Epi1Ger,DE,Cases,2021-03-15,2,8383.24652173913,0,4248.08695652174,4135.15956521739,-0.6,0,1,15638,2021-03-27
IEM_Health-CovidProject,DE,Cases,2021-03-15,2,17644.7304347826,0,11894.2173913044,5750.51304347826,-0.8,0,1,32927,2021-03-27
ILM-EKF,DE,Cases,2021-03-15,2,11096.8539130435,0,3083.47826086957,8013.37565217391,-0.4,1,1,18636,2021-03-27
ITWW-county_repro,DE,Cases,2021-03-15,2,6320.68043478261,3928.69565217391,0,2391.9847826087,0.8,0,1,11112,2021-03-27
Karlen-pypm,DE,Cases,2021-03-15,2,7776.65173913044,109.826086956522,0,7666.82565217391,0.1,1,1,2526,2021-03-27
MIT_CovidAnalytics-DELPHI,DE,Cases,2021-03-15,2,30777.0834782609,0,23942.0869565217,6834.99652173913,-0.9,0,1,51802,2021-03-27
UNIPV-BayesINGARCHX,DE,Cases,2021-03-15,2,28215.1356521739,0,25532.6086956522,2682.52695652174,-1,0,0,38140,2021-03-27
epiforecasts-EpiExpert,DE,Cases,2021-03-15,2,5931.85565217391,0,2529.91304347826,3401.94260869565,-0.5,1,1,11172,2021-03-27
epiforecasts-EpiNow2,DE,Cases,2021-03-15,2,11345.6008695652,0,2384.39130434783,8961.20956521739,-0.3,1,1,18125,2021-03-27
itwm-dSEIR,DE,Cases,2021-03-15,2,7304.36434782609,0,1186.04347826087,6118.32086956522,-0.3,1,1,9809,2021-03-27
DSMPG-bayes,DE,Cases,2021-03-15,3,28881.1686956522,764.391304347826,0,28116.7773913044,0.2,1,1,13035,2021-04-03
EuroCOVIDhub-baseline,DE,Cases,2021-03-15,3,34006.4,0,30088.6956521739,3917.70434782609,-0.98,0,0,50252,2021-04-03
FIAS_FZJ-Epi1Ger,DE,Cases,2021-03-15,3,7840.9947826087,0,1004.69565217391,6836.29913043478,-0.3,1,1,9572,2021-04-03
IEM_Health-CovidProject,DE,Cases,2021-03-15,3,17503.1165217391,0,9349.56521739131,8153.55130434783,-0.6,0,1,34928,2021-04-03
ILM-EKF,DE,Cases,2021-03-15,3,16934.5704347826,0,821.130434782609,16113.44,-0.2,1,1,12442,2021-04-03
ITWW-county_repro,DE,Cases,2021-03-15,3,21674.3243478261,17205.9130434783,0,4468.41130434783,0.98,0,0,33216,2021-04-03
Karlen-pypm,DE,Cases,2021-03-15,3,21594.397826087,7853.86956521739,0,13740.5282608696,0.5,1,1,36727,2021-04-03
MIT_CovidAnalytics-DELPHI,DE,Cases,2021-03-15,3,38707.2782608696,0,30441.1739130435,8266.10434782609,-0.95,0,0,64949,2021-04-03
UNIPV-BayesINGARCHX,DE,Cases,2021-03-15,3,32446.6582608696,0,30898.0869565217,1548.57130434783,-1,0,0,36436,2021-04-03
epiforecasts-EpiExpert,DE,Cases,2021-03-15,3,5679.83260869565,0,12.0869565217391,5667.74565217391,-0.1,1,1,278,2021-04-03
epiforecasts-EpiNow2,DE,Cases,2021-03-15,3,15038.5191304348,0,840.565217391304,14197.9539130435,-0.2,1,1,11879,2021-04-03
itwm-dSEIR,DE,Cases,2021-03-15,3,14303.4326086957,159.434782608696,0,14143.997826087,0.1,1,1,3667,2021-04-03
DSMPG-bayes,DE,Cases,2021-03-15,4,64484.7213043478,5867.17391304348,0,58617.5473913044,0.4,1,1,46987,2021-04-10
EuroCOVIDhub-baseline,DE,Cases,2021-03-15,4,23684.567826087,0,18835.7391304348,4848.82869565217,-0.9,0,1,39510,2021-04-10
FIAS_FZJ-Epi1Ger,DE,Cases,2021-03-15,4,12925.2117391304,2640.04347826087,0,10285.1682608696,0.4,1,1,17997,2021-04-10
IEM_Health-CovidProject,DE,Cases,2021-03-15,4,12536.2604347826,0,1587.5652173913,10948.6952173913,-0.3,1,1,16166,2021-04-10
ILM-EKF,DE,Cases,2021-03-15,4,30443.1843478261,785.478260869565,0,29657.7060869565,0.2,1,1,15414,2021-04-10
ITWW-county_repro,DE,Cases,2021-03-15,4,65889.2460869565,58244.4347826087,0,7644.81130434783,1,0,0,84524,2021-04-10
Karlen-pypm,DE,Cases,2021-03-15,4,61637.0973913044,37957.2608695652,0,23679.8365217391,0.8,0,1,111597,2021-04-10
MIT_CovidAnalytics-DELPHI,DE,Cases,2021-03-15,4,34434.6160869565,0,25132.1739130435,9302.44217391304,-0.9,0,1,61452,2021-04-10
UNIPV-BayesINGARCHX,DE,Cases,2021-03-15,4,16271.3886956522,0,15576.6086956522,694.78,-1,0,0,18456,2021-04-10
epiforecasts-EpiExpert,DE,Cases,2021-03-15,4,18501.0882608696,10247.3913043478,0,8253.69695652174,0.7,0,1,33264,2021-04-10
epiforecasts-EpiNow2,DE,Cases,2021-03-15,4,21841.8017391304,877.347826086957,0,20964.4539130435,0.2,1,1,13695,2021-04-10
itwm-dSEIR,DE,Cases,2021-03-15,4,31434.737826087,4515.04347826087,0,26919.6943478261,0.3,1,1,40510,2021-04-10
EuroCOVIDhub-baseline,DE,Deaths,2021-03-15,1,106.534782608696,60.2608695652174,0,46.2739130434783,0.6,0,1,154,2021-03-20
FIAS_FZJ-Epi1Ger,DE,Deaths,2021-03-15,1,581.185652173913,557.260869565217,0,23.9247826086957,1,0,0,665,2021-03-20
IEM_Health-CovidProject,DE,Deaths,2021-03-15,1,190.127391304348,0,48.6521739130435,141.475217391304,-0.4,1,1,311,2021-03-20
ILM-EKF,DE,Deaths,2021-03-15,1,173.578260869565,67.7391304347826,0,105.839130434783,0.6,0,1,304,2021-03-20
ITWW-county_repro,DE,Deaths,2021-03-15,1,124.273913043478,0,116.869565217391,7.40434782608696,-1,0,0,152,2021-03-20
Karlen-pypm,DE,Deaths,2021-03-15,1,140.397826086957,41.7391304347826,0,98.6586956521739,0.5,1,1,236,2021-03-20
MIT_CovidAnalytics-DELPHI,DE,Deaths,2021-03-15,1,177.930434782609,40.5217391304348,0,137.408695652174,0.4,1,1,274,2021-03-20
RobertWalraven-ESG,DE,Deaths,2021-03-15,1,113.385217391304,0,23.7391304347826,89.6460869565217,-0.4,1,1,170,2021-03-20
epiforecasts-EpiExpert,DE,Deaths,2021-03-15,1,37.9978260869565,0,11.6521739130435,26.3456521739131,-0.4,1,1,66,2021-03-20
epiforecasts-EpiNow2,DE,Deaths,2021-03-15,1,515.224782608696,387.391304347826,0,127.83347826087,0.98,0,0,806,2021-03-20
itwm-dSEIR,DE,Deaths,2021-03-15,1,103.786956521739,40.0869565217391,0,63.7,0.5,1,1,188,2021-03-20
EuroCOVIDhub-baseline,DE,Deaths,2021-03-15,2,141.045217391304,45.6086956521739,0,95.4365217391304,0.4,1,1,203,2021-03-27
FIAS_FZJ-Epi1Ger,DE,Deaths,2021-03-15,2,805.417826086956,741.173913043478,0,64.2439130434783,1,0,0,1019,2021-03-27
IEM_Health-CovidProject,DE,Deaths,2021-03-15,2,250.40347826087,0,110.782608695652,139.620869565217,-0.5,1,1,482,2021-03-27
ILM-EKF,DE,Deaths,2021-03-15,2,302.533043478261,166.086956521739,0,136.446086956522,0.7,0,1,538,2021-03-27
ITWW-county_repro,DE,Deaths,2021-03-15,2,114.927391304348,101.391304347826,0,13.5360869565217,1,0,0,158,2021-03-27
Karlen-pypm,DE,Deaths,2021-03-15,2,197.52347826087,88.5652173913043,0,108.958260869565,0.6,0,1,369,2021-03-27
MIT_CovidAnalytics-DELPHI,DE,Deaths,2021-03-15,2,272.458695652174,78.7826086956522,0,193.676086956522,0.4,1,1,458,2021-03-27
RobertWalraven-ESG,DE,Deaths,2021-03-15,2,190.575652173913,0,86.5217391304348,104.053913043478,-0.6,0,1,356,2021-03-27
epiforecasts-EpiExpert,DE,Deaths,2021-03-15,2,78.8347826086957,0,42.2608695652174,36.5739130434783,-0.6,0,1,152,2021-03-27
epiforecasts-EpiNow2,DE,Deaths,2021-03-15,2,764.220869565217,583.521739130435,0,180.699130434783,0.98,0,0,1133,2021-03-27
itwm-dSEIR,DE,Deaths,2021-03-15,2,74.7213043478261,6.17391304347826,0,68.5473913043478,0.2,1,1,74,2021-03-27
EuroCOVIDhub-baseline,DE,Deaths,2021-03-15,3,187.856956521739,58.7391304347826,0,129.117826086957,0.4,1,1,303,2021-04-03
FIAS_FZJ-Epi1Ger,DE,Deaths,2021-03-15,3,1096.4152173913,976.217391304348,0,120.197826086957,1,0,0,1465,2021-04-03
IEM_Health-CovidProject,DE,Deaths,2021-03-15,3,277.485217391304,0,143.478260869565,134.006956521739,-0.6,0,1,556,2021-04-03
ILM-EKF,DE,Deaths,2021-03-15,3,518.353913043478,322.086956521739,0,196.266956521739,0.9,0,1,884,2021-04-03
ITWW-county_repro,DE,Deaths,2021-03-15,3,518.59,490.478260869565,0,28.1117391304348,1,0,0,603,2021-04-03
Karlen-pypm,DE,Deaths,2021-03-15,3,392.689130434783,252.565217391304,0,140.123913043478,0.8,0,1,707,2021-04-03
MIT_CovidAnalytics-DELPHI,DE,Deaths,2021-03-15,3,282.743043478261,48.6521739130435,0,234.090869565217,0.3,1,1,393,2021-04-03
RobertWalraven-ESG,DE,Deaths,2021-03-15,3,229.047826086957,0,112.391304347826,116.65652173913,-0.6,0,1,435,2021-04-03
epiforecasts-EpiExpert,DE,Deaths,2021-03-15,3,68.2021739130435,0,23.0434782608696,45.1586956521739,-0.5,1,1,122,2021-04-03
epiforecasts-EpiNow2,DE,Deaths,2021-03-15,3,1119.12,849.739130434783,0,269.380869565217,1,0,0,1566,2021-04-03
itwm-dSEIR,DE,Deaths,2021-03-15,3,134.23,56.6956521739131,0,77.534347826087,0.6,0,1,248,2021-04-03
EuroCOVIDhub-baseline,DE,Deaths,2021-03-15,4,158.143043478261,2.78260869565217,0,155.360434782609,0.1,1,1,64,2021-04-10
FIAS_FZJ-Epi1Ger,DE,Deaths,2021-03-15,4,1075.26434782609,879.521739130435,0,195.742608695652,1,0,0,1627,2021-04-10
IEM_Health-CovidProject,DE,Deaths,2021-03-15,4,475.417391304348,0,350.173913043478,125.24347826087,-0.8,0,1,928,2021-04-10
ILM-EKF,DE,Deaths,2021-03-15,4,568.53652173913,258,0,310.53652173913,0.7,0,1,958,2021-04-10
ITWW-county_repro,DE,Deaths,2021-03-15,4,653.771739130435,601.260869565217,0,52.5108695652174,1,0,0,795,2021-04-10
Karlen-pypm,DE,Deaths,2021-03-15,4,494.367826086957,297.95652173913,0,196.411304347826,0.7,0,1,931,2021-04-10
MIT_CovidAnalytics-DELPHI,DE,Deaths,2021-03-15,4,265.880869565217,0,2.26086956521739,263.62,-0.1,1,1,52,2021-04-10
RobertWalraven-ESG,DE,Deaths,2021-03-15,4,447.736521739131,0,321.652173913044,126.084347826087,-0.9,0,1,816,2021-04-10
epiforecasts-EpiExpert,DE,Deaths,2021-03-15,4,189.287391304348,0,133.347826086957,55.9395652173913,-0.8,0,1,351,2021-04-10
epiforecasts-EpiNow2,DE,Deaths,2021-03-15,4,1206.05869565217,782.521739130435,0,423.536956521739,0.95,0,0,1740,2021-04-10
itwm-dSEIR,DE,Deaths,2021-03-15,4,150.1,17.0869565217391,0,133.013043478261,0.3,1,1,173,2021-04-10
DSMPG-bayes,FR,Cases,2021-03-15,1,17868.7843478261,0,13289.9130434783,4578.87130434783,-0.8,0,1,32414,2021-03-20
EuroCOVIDhub-baseline,FR,Cases,2021-03-15,1,30358.4982608696,0,27759.8695652174,2598.62869565217,-0.9,0,1,43429,2021-03-20
IEM_Health-CovidProject,FR,Cases,2021-03-15,1,19294.9686956522,0,4173.91304347826,15121.0556521739,-0.4,1,1,29194,2021-03-20
ILM-EKF,FR,Cases,2021-03-15,1,15925.1995652174,0,10609.7391304348,5315.46043478261,-0.8,0,1,29674,2021-03-20
UNIPV-BayesINGARCHX,FR,Cases,2021-03-15,1,23352.757826087,0,17694.8260869565,5657.93173913044,-1,0,0,33255,2021-03-20
epiforecasts-EpiExpert,FR,Cases,2021-03-15,1,21445.7147826087,0,17802.4347826087,3643.28,-0.95,0,0,34376,2021-03-20
epiforecasts-EpiNow2,FR,Cases,2021-03-15,1,16116.6713043478,0,10260.5217391304,5856.14956521739,-0.7,0,1,31580,2021-03-20
DSMPG-bayes,FR,Cases,2021-03-15,2,45902.1160869565,0,38748.3043478261,7153.81173913043,-0.9,0,1,76717,2021-03-27
EuroCOVIDhub-baseline,FR,Cases,2021-03-15,2,63410.1556521739,0,58018.2608695652,5391.8947826087,-0.95,0,0,92906,2021-03-27
IEM_Health-CovidProject,FR,Cases,2021-03-15,2,35138.4404347826,0,13684.6956521739,21453.7447826087,-0.5,1,1,63264,2021-03-27
ILM-EKF,FR,Cases,2021-03-15,2,31856.8265217391,0,19562.9130434783,12293.9134782609,-0.7,0,1,61463,2021-03-27
UNIPV-BayesINGARCHX,FR,Cases,2021-03-15,2,71028.6343478261,0,65666.0434782609,5362.59086956522,-1,0,0,74549,2021-03-27
epiforecasts-EpiExpert,FR,Cases,2021-03-15,2,43723.9769565217,0,37709.1739130435,6014.80304347826,-0.98,0,0,67051,2021-03-27
epiforecasts-EpiNow2,FR,Cases,2021-03-15,2,39568.4534782609,0,30942.7391304348,8625.71434782609,-0.9,0,1,70249,2021-03-27
DSMPG-bayes,FR,Cases,2021-03-15,3,24892.4447826087,0,14583.9565217391,10308.4882608696,-0.6,0,1,47617,2021-04-03
EuroCOVIDhub-baseline,FR,Cases,2021-03-15,3,41375.6769565217,0,33448.652173913,7927.0247826087,-0.8,0,1,68323,2021-04-03
IEM_Health-CovidProject,FR,Cases,2021-03-15,3,30580.7847826087,0,1554,29026.7847826087,-0.2,1,1,22990,2021-04-03
ILM-EKF,FR,Cases,2021-03-15,3,23761.5304347826,0,1142.13043478261,22619.4,-0.2,1,1,17587,2021-04-03
UNIPV-BayesINGARCHX,FR,Cases,2021-03-15,3,42338.1608695652,0,38485.4782608696,3852.68260869565,-1,0,0,50652,2021-04-03
epiforecasts-EpiExpert,FR,Cases,2021-03-15,3,18651.3269565217,0,10334.1304347826,8317.19652173913,-0.7,0,1,36061,2021-04-03
epiforecasts-EpiNow2,FR,Cases,2021-03-15,3,21612.3634782609,0,9877.73913043478,11734.6243478261,-0.5,1,1,41380,2021-04-03
DSMPG-bayes,FR,Cases,2021-03-15,4,14568.7669565217,0,820.869565217391,13747.8973913044,-0.2,1,1,10496,2021-04-10
EuroCOVIDhub-baseline,FR,Cases,2021-03-15,4,20601.7404347826,0,10361.4347826087,10240.3056521739,-0.6,0,1,34815,2021-04-10
IEM_Health-CovidProject,FR,Cases,2021-03-15,4,39138.1573913044,1227.91304347826,0,37910.2443478261,0.2,1,1,25176,2021-04-10
ILM-EKF,FR,Cases,2021-03-15,4,40687.6856521739,3154.52173913044,0,37533.1639130435,0.2,1,1,37240,2021-04-10
UNIPV-BayesINGARCHX,FR,Cases,2021-03-15,4,5038.29173913043,0,3152.47826086957,1885.81347826087,-0.7,0,1,10403,2021-04-10
epiforecasts-EpiExpert,FR,Cases,2021-03-15,4,10788.9186956522,0,734.086956521739,10054.8317391304,-0.2,1,1,9604,2021-04-10
epiforecasts-EpiNow2,FR,Cases,2021-03-15,4,14965.7904347826,0,255.565217391304,14710.2252173913,-0.1,1,1,5878,2021-04-10
EuroCOVIDhub-baseline,FR,Deaths,2021-03-15,1,68.2086956521739,0,8.82608695652174,59.3826086956522,-0.4,1,1,51,2021-03-20
IEM_Health-CovidProject,FR,Deaths,2021-03-15,1,231.69,0,53.5217391304348,178.168260869565,-0.4,1,1,353,2021-03-20
ILM-EKF,FR,Deaths,2021-03-15,1,127.905217391304,6.78260869565217,0,121.122608695652,0.2,1,1,98,2021-03-20
RobertWalraven-ESG,FR,Deaths,2021-03-15,1,146.473043478261,0,77.6086956521739,68.864347826087,-0.7,0,1,277,2021-03-20
epiforecasts-EpiExpert,FR,Deaths,2021-03-15,1,44.4330434782609,0,7,37.4330434782609,-0.3,1,1,59,2021-03-20
epiforecasts-EpiNow2,FR,Deaths,2021-03-15,1,306.924782608696,247.173913043478,0,59.7508695652174,0.95,0,0,489,2021-03-20
EuroCOVIDhub-baseline,FR,Deaths,2021-03-15,2,308.103913043478,0,189.826086956522,118.277826086957,-0.7,0,1,542,2021-03-27
IEM_Health-CovidProject,FR,Deaths,2021-03-15,2,513.631304347826,0,308.521739130435,205.109565217391,-0.7,0,1,1006,2021-03-27
ILM-EKF,FR,Deaths,2021-03-15,2,176.838695652174,0,28.1304347826087,148.708260869565,-0.3,1,1,237,2021-03-27
RobertWalraven-ESG,FR,Deaths,2021-03-15,2,708.389130434783,0,628.04347826087,80.345652173913,-1,0,0,991,2021-03-27
epiforecasts-EpiExpert,FR,Deaths,2021-03-15,2,368.389565217391,0,296.260869565217,72.1286956521739,-0.9,0,1,622,2021-03-27
epiforecasts-EpiNow2,FR,Deaths,2021-03-15,2,101.899565217391,21.5652173913043,0,80.334347826087,0.4,1,1,144,2021-03-27
EuroCOVIDhub-baseline,FR,Deaths,2021-03-15,3,189.575652173913,0,23.5217391304348,166.053913043478,-0.3,1,1,195,2021-04-03
IEM_Health-CovidProject,FR,Deaths,2021-03-15,3,417.148260869565,0,190,227.148260869565,-0.5,1,1,798,2021-04-03
ILM-EKF,FR,Deaths,2021-03-15,3,230.742173913044,35.7391304347826,0,195.003043478261,0.3,1,1,294,2021-04-03
RobertWalraven-ESG,FR,Deaths,2021-03-15,3,547.970434782609,0,456.173913043478,91.7965217391304,-0.98,0,0,858,2021-04-03
