model,location,target_type,forecast_date,target_val,current_val,rel_score,average,nmod
weighted.mean_ensemble,GB,Deaths,2021-07-05,38.8442124493265,57.7308695652174,0.67284994565074,,5
weighted.mean_ensemble,GB,Cases,2021-07-12,124644.603435413,110810.593913043,1.12484374493313,,5
weighted.mean_ensemble,GB,Deaths,2021-07-12,60.0908744899363,60.6806521739131,0.990280630434123,,5
weighted.mean_ensemble,GB,Cases,2021-07-19,286893.279002597,225848.945543478,1.27028832617404,,5
weighted.mean_ensemble,GB,Deaths,2021-07-19,83.1419184897386,78.563152173913,1.05828134677806,,5
weighted.mean_ensemble,GB,Cases,2021-07-26,34991.7152227086,39314.3890217391,0.89004855711632,,5
weighted.mean_ensemble,GB,Deaths,2021-07-26,51.3211808190643,54.4948913043478,0.941761320936329,,5
weighted.mean_ensemble,GB,Cases,2021-08-02,27825.357936876,40584.2334782609,0.685619896006678,,5
weighted.mean_ensemble,GB,Deaths,2021-08-02,251.257719501936,165.367282608696,1.51939195914878,,5
weighted.mean_ensemble,GB,Cases,2021-08-09,34111.4058727403,17022.5809782609,2.00389153186013,,5
weighted.mean_ensemble,GB,Deaths,2021-08-09,203.0028502486,167.005489130435,1.21554597579754,,5
weighted.mean_ensemble,GB,Cases,2021-08-16,28411.1824678739,16825.6944565217,1.68855927708003,,5
weighted.mean_ensemble,GB,Deaths,2021-08-16,187.310191574655,222.007173913044,0.843712337187902,,5
weighted.mean_ensemble,GB,Cases,2021-08-23,17850.2058267526,18266.4993478261,0.97720999994873,,5
weighted.mean_ensemble,GB,Deaths,2021-08-23,136.598251598608,139.599782608696,0.978499028050057,,5
weighted.mean_ensemble,GB,Cases,2021-08-30,20189.4269167718,15816.7819565217,1.27645604347774,,5
weighted.mean_ensemble,GB,Deaths,2021-08-30,77.0584018889904,125.536576086957,0.613832273357636,,5
weighted.mean_ensemble,GB,Cases,2021-09-06,41592.3872036714,26468.5034782609,1.57139171989199,,5
weighted.mean_ensemble,GB,Deaths,2021-09-06,110.665781759954,104.317391304348,1.0608564916763,,5
weighted.mean_ensemble,GB,Cases,2021-09-13,17106.9527101694,21409.2316304348,0.799045617585389,,5
weighted.mean_ensemble,GB,Deaths,2021-09-13,191.068937896879,79.1276630434783,2.41469203749759,,5
weighted.mean_ensemble,GB,Cases,2021-09-20,39513.5073729635,36453.1843478261,1.08395214519359,,5
weighted.mean_ensemble,GB,Deaths,2021-09-20,133.491727714388,74.7102173913044,1.78679345845305,,5
weighted.mean_ensemble,GB,Cases,2021-09-27,39698.8169500861,35650.1969565217,1.11356515080413,,5
weighted.mean_ensemble,GB,Deaths,2021-09-27,88.5438357267818,81.2608695652174,1.08962451670197,,5
weighted.mean_ensemble,GB,Cases,2021-10-04,42655.6491583884,59842.8130978261,0.712794852886653,,5
weighted.mean_ensemble,GB,Deaths,2021-10-04,168.535482968053,200.691630434783,0.839773350801598,,5
weighted.mean_ensemble,GB,Cases,2021-10-11,24906.3943552375,24303.7488043478,1.02479640304634,,5
weighted.mean_ensemble,GB,Deaths,2021-10-11,209.756822421044,207.541739130435,1.01067295330515,,5
weighted.mean_ensemble,GB,Cases,2021-10-18,40969.1646243822,34912.1221739131,1.17349396350919,,5
weighted.mean_ensemble,GB,Deaths,2021-10-18,156.031325845158,138.561195652174,1.12608241514341,,5
weighted.mean_ensemble,GB,Cases,2021-10-25,78475.8422468447,61728.8575,1.27129912046152,,5
weighted.mean_ensemble,GB,Deaths,2021-10-25,112.677743284664,127.128097826087,0.886332331022595,,5
