model,location,target_type,forecast_date,horizon,wis,overprediction,underprediction,dispersion,bias,interval_coverage_50,interval_coverage_90,ae_median,target_end_date
IEM_Health-CovidProject,IT,Cases,2021-08-02,4,5400.66782608696,179.260869565217,0,5221.40695652174,0.2,1,1,3363,2021-08-28
ILM-EKF,IT,Cases,2021-08-02,4,74900.7904347826,40849.6086956522,0,34051.1817391304,0.9,0,1,115855,2021-08-28
Karlen-pypm,IT,Cases,2021-08-02,4,69381.7752173913,61676.5217391304,0,7705.25347826087,1,0,0,91766,2021-08-28
MUNI-ARIMA,IT,Cases,2021-08-02,4,11420.9552173913,1615.95652173913,0,9804.99869565217,0.3,1,1,14041,2021-08-28
RobertWalraven-ESG,IT,Cases,2021-08-02,4,12488.9065217391,0,11475.5217391304,1013.3847826087,-1,0,0,16049,2021-08-28
UNIPV-BayesINGARCHX,IT,Cases,2021-08-02,4,17607.9756521739,8677.82608695652,0,8930.14956521739,0.7,0,1,28984,2021-08-28
epiforecasts-EpiNow2,IT,Cases,2021-08-02,4,9488.6747826087,0,1412.73913043478,8075.93565217391,-0.3,1,1,12751,2021-08-28
EuroCOVIDhub-baseline,IT,Deaths,2021-08-02,1,44.6108695652174,0,2.82608695652174,41.7847826086957,-0.2,1,1,25,2021-08-07
IEM_Health-CovidProject,IT,Deaths,2021-08-02,1,20.1613043478261,0,13.1304347826087,7.03086956521739,-0.7,0,1,38,2021-08-07
ILM-EKF,IT,Deaths,2021-08-02,1,30.2282608695652,6.26086956521739,0,23.9673913043478,0.4,1,1,42,2021-08-07
Karlen-pypm,IT,Deaths,2021-08-02,1,39.2182608695652,19.7391304347826,0,19.4791304347826,0.6,0,1,70,2021-08-07
MUNI-ARIMA,IT,Deaths,2021-08-02,1,13.9834782608696,0.0869565217391304,0,13.8965217391304,0.1,1,1,2,2021-08-07
RobertWalraven-ESG,IT,Deaths,2021-08-02,1,24.405652173913,0,9.69565217391304,14.71,-0.5,1,1,45,2021-08-07
UMass-MechBayes,IT,Deaths,2021-08-02,1,34.325652173913,25.3478260869565,0,8.97782608695652,0.9,0,1,57,2021-08-07
epiforecasts-EpiNow2,IT,Deaths,2021-08-02,1,61.9352173913043,48.0869565217391,0,13.8482608695652,0.98,0,0,98,2021-08-07
EuroCOVIDhub-baseline,IT,Deaths,2021-08-02,2,81.9178260869565,0,7.86956521739131,74.0482608695652,-0.2,1,1,83,2021-08-14
IEM_Health-CovidProject,IT,Deaths,2021-08-02,2,50.314347826087,0,39.8260869565217,10.4882608695652,-0.9,0,1,88,2021-08-14
ILM-EKF,IT,Deaths,2021-08-02,2,51.9391304347826,13.304347826087,0,38.6347826086957,0.5,1,1,78,2021-08-14
Karlen-pypm,IT,Deaths,2021-08-02,2,66.1339130434783,34.8695652173913,0,31.264347826087,0.7,0,1,122,2021-08-14
MUNI-ARIMA,IT,Deaths,2021-08-02,2,31.1334782608696,0,1.30434782608696,29.8291304347826,-0.2,1,1,22,2021-08-14
RobertWalraven-ESG,IT,Deaths,2021-08-02,2,50.9308695652174,0,32.6521739130435,18.2786956521739,-0.8,0,1,95,2021-08-14
UMass-MechBayes,IT,Deaths,2021-08-02,2,52.5539130434783,34.4347826086957,0,18.1191304347826,0.9,0,1,92,2021-08-14
epiforecasts-EpiNow2,IT,Deaths,2021-08-02,2,127.879130434783,108.652173913043,0,19.2269565217391,1,0,0,185,2021-08-14
EuroCOVIDhub-baseline,IT,Deaths,2021-08-02,3,119.85347826087,0,23.3913043478261,96.4621739130435,-0.3,1,1,194,2021-08-21
IEM_Health-CovidProject,IT,Deaths,2021-08-02,3,120.584347826087,0,106.260869565217,14.3234782608696,-0.95,0,0,190,2021-08-21
ILM-EKF,IT,Deaths,2021-08-02,3,77.2165217391305,13.2608695652174,0,63.955652173913,0.4,1,1,99,2021-08-21
Karlen-pypm,IT,Deaths,2021-08-02,3,83.0173913043478,36.8260869565217,0,46.1913043478261,0.6,0,1,147,2021-08-21
MUNI-ARIMA,IT,Deaths,2021-08-02,3,66.1347826086957,0,16.4347826086957,49.7,-0.4,1,1,108,2021-08-21
RobertWalraven-ESG,IT,Deaths,2021-08-02,3,129.246956521739,0,107.695652173913,21.5513043478261,-0.95,0,0,205,2021-08-21
UMass-MechBayes,IT,Deaths,2021-08-02,3,66.6956521739131,27.4782608695652,0,39.2173913043478,0.6,0,1,112,2021-08-21
epiforecasts-EpiNow2,IT,Deaths,2021-08-02,3,112.169130434783,84.1304347826087,0,28.0386956521739,0.95,0,0,183,2021-08-21
EuroCOVIDhub-baseline,IT,Deaths,2021-08-02,4,134.318260869565,0,20.5652173913043,113.753043478261,-0.3,1,1,207,2021-08-28
IEM_Health-CovidProject,IT,Deaths,2021-08-02,4,112.957391304348,0,94.2173913043478,18.74,-0.9,0,1,193,2021-08-28
ILM-EKF,IT,Deaths,2021-08-02,4,172.882173913044,62.5217391304348,0,110.360434782609,0.6,0,1,270,2021-08-28
Karlen-pypm,IT,Deaths,2021-08-02,4,177.322173913043,112.086956521739,0,65.2352173913044,0.8,0,1,312,2021-08-28
MUNI-ARIMA,IT,Deaths,2021-08-02,4,81.9143478260869,0,9.69565217391304,72.2186956521739,-0.3,1,1,99,2021-08-28
RobertWalraven-ESG,IT,Deaths,2021-08-02,4,137.842608695652,0,113.347826086957,24.4947826086957,-0.95,0,0,225,2021-08-28
UMass-MechBayes,IT,Deaths,2021-08-02,4,180.442608695652,103.391304347826,0,77.0513043478261,0.8,0,1,306,2021-08-28
epiforecasts-EpiNow2,IT,Deaths,2021-08-02,4,124.440434782609,77.7391304347826,0,46.7013043478261,0.8,0,1,222,2021-08-28
EuroCOVIDhub-baseline,LT,Cases,2021-08-02,1,546.858260869565,0,436.04347826087,110.814782608696,-0.8,0,1,883,2021-08-07
IEM_Health-CovidProject,LT,Cases,2021-08-02,1,512.682608695652,0,404.913043478261,107.769565217391,-0.9,0,1,873,2021-08-07
ILM-EKF,LT,Cases,2021-08-02,1,843.28652173913,0,709.913043478261,133.37347826087,-0.9,0,1,1400,2021-08-07
Karlen-pypm,LT,Cases,2021-08-02,1,1174.83608695652,831.260869565217,0,343.575217391304,0.9,0,1,1991,2021-08-07
MUNI-ARIMA,LT,Cases,2021-08-02,1,164.627391304348,0,45.2173913043478,119.41,-0.4,1,1,268,2021-08-07
RobertWalraven-ESG,LT,Cases,2021-08-02,1,667.161304347826,0,610.086956521739,57.074347826087,-1,0,0,868,2021-08-07
epiforecasts-EpiNow2,LT,Cases,2021-08-02,1,300.930434782609,116.478260869565,0,184.452173913044,0.6,0,1,517,2021-08-07
EuroCOVIDhub-baseline,LT,Cases,2021-08-02,2,970.358260869565,0,732.391304347826,237.966956521739,-0.8,0,1,1687,2021-08-14
IEM_Health-CovidProject,LT,Cases,2021-08-02,2,922.68347826087,0,743.826086956522,178.857391304348,-0.9,0,1,1588,2021-08-14
ILM-EKF,LT,Cases,2021-08-02,2,701.388260869565,0,405.869565217391,295.518695652174,-0.6,0,1,1391,2021-08-14
Karlen-pypm,LT,Cases,2021-08-02,2,4933.5047826087,4132.86956521739,0,800.635217391304,1,0,0,7042,2021-08-14
MUNI-ARIMA,LT,Cases,2021-08-02,2,310.503913043478,0,12.8695652173913,297.634347826087,-0.2,1,1,212,2021-08-14
RobertWalraven-ESG,LT,Cases,2021-08-02,2,1570.5252173913,0,1499.17391304348,71.3513043478261,-1,0,0,1821,2021-08-14
epiforecasts-EpiNow2,LT,Cases,2021-08-02,2,1032.64086956522,389.652173913044,0,642.988695652174,0.6,0,1,1722,2021-08-14
EuroCOVIDhub-baseline,LT,Cases,2021-08-02,3,1104.67434782609,0,763.521739130435,341.152608695652,-0.7,0,1,2013,2021-08-21
IEM_Health-CovidProject,LT,Cases,2021-08-02,3,978.392608695652,0,728.95652173913,249.436086956522,-0.8,0,1,1800,2021-08-21
ILM-EKF,LT,Cases,2021-08-02,3,631.350869565218,0,32,599.350869565217,-0.2,1,1,472,2021-08-21
Karlen-pypm,LT,Cases,2021-08-02,3,13920.7473913044,12180.9130434783,0,1739.83434782609,1,0,0,18483,2021-08-21
MUNI-ARIMA,LT,Cases,2021-08-02,3,556.399565217391,24.6521739130435,0,531.747391304348,0.2,1,1,409,2021-08-21
RobertWalraven-ESG,LT,Cases,2021-08-02,3,2029.61608695652,0,1944,85.6160869565217,-1,0,0,2330,2021-08-21
epiforecasts-EpiNow2,LT,Cases,2021-08-02,3,2627.97391304348,1071.60869565217,0,1556.3652173913,0.7,0,1,4175,2021-08-21
EuroCOVIDhub-baseline,LT,Cases,2021-08-02,4,1067.48173913043,0,645.739130434783,421.742608695652,-0.7,0,1,2014,2021-08-28
IEM_Health-CovidProject,LT,Cases,2021-08-02,4,878.076956521739,0,552.130434782609,325.94652173913,-0.7,0,1,1721,2021-08-28
ILM-EKF,LT,Cases,2021-08-02,4,1320.22347826087,167.478260869565,0,1152.7452173913,0.3,1,1,1432,2021-08-28
Karlen-pypm,LT,Cases,2021-08-02,4,30826.9817391304,27527.8260869565,0,3299.15565217391,1,0,0,39812,2021-08-28
MUNI-ARIMA,LT,Cases,2021-08-02,4,1033.53391304348,194.739130434783,0,838.794782608696,0.4,1,1,1475,2021-08-28
RobertWalraven-ESG,LT,Cases,2021-08-02,4,2153.55695652174,0,2053.69565217391,99.8613043478261,-1,0,0,2505,2021-08-28
epiforecasts-EpiNow2,LT,Cases,2021-08-02,4,5093.05086956522,2175.86956521739,0,2917.18130434783,0.7,0,1,7913,2021-08-28
EuroCOVIDhub-baseline,LT,Deaths,2021-08-02,1,3.04217391304348,0,1.60869565217391,1.43347826086957,-0.6,0,1,5,2021-08-07
IEM_Health-CovidProject,LT,Deaths,2021-08-02,1,2.76652173913044,0,2.34782608695652,0.418695652173913,-0.95,0,0,4,2021-08-07
ILM-EKF,LT,Deaths,2021-08-02,1,2.82130434782609,0,0.173913043478261,2.64739130434783,-0.2,1,1,2,2021-08-07
Karlen-pypm,LT,Deaths,2021-08-02,1,1.98782608695652,0.565217391304348,0,1.42260869565217,0.4,1,1,3,2021-08-07
MUNI-ARIMA,LT,Deaths,2021-08-02,1,2.43695652173913,0,1.52173913043478,0.915217391304348,-0.7,0,1,5,2021-08-07
RobertWalraven-ESG,LT,Deaths,2021-08-02,1,4.31521739130435,0,3.39130434782609,0.923913043478261,-0.9,0,1,8,2021-08-07
UMass-MechBayes,LT,Deaths,2021-08-02,1,0.897826086956522,0,0,0.897826086956522,0,1,1,0,2021-08-07
epiforecasts-EpiNow2,LT,Deaths,2021-08-02,1,3.40347826086957,1.56521739130435,0,1.83826086956522,0.6,0,1,6,2021-08-07
EuroCOVIDhub-baseline,LT,Deaths,2021-08-02,2,9.21434782608696,0,6.34782608695652,2.86652173913044,-0.7,0,1,18,2021-08-14
IEM_Health-CovidProject,LT,Deaths,2021-08-02,2,14.4969565217391,0,13.9565217391304,0.540434782608696,-1,0,0,17,2021-08-14
ILM-EKF,LT,Deaths,2021-08-02,2,6.21304347826087,0,2.21739130434783,3.99565217391304,-0.4,1,1,11,2021-08-14
Karlen-pypm,LT,Deaths,2021-08-02,2,4.11478260869565,1.17391304347826,0,2.94086956521739,0.4,1,1,7,2021-08-14
MUNI-ARIMA,LT,Deaths,2021-08-02,2,11.2586956521739,0,9.82608695652174,1.43260869565217,-0.95,0,0,18,2021-08-14
RobertWalraven-ESG,LT,Deaths,2021-08-02,2,15.1982608695652,0,14.1304347826087,1.06782608695652,-1,0,0,21,2021-08-14
UMass-MechBayes,LT,Deaths,2021-08-02,2,3.04565217391304,0,1.39130434782609,1.65434782608696,-0.5,1,1,6,2021-08-14
epiforecasts-EpiNow2,LT,Deaths,2021-08-02,2,4.78260869565218,1.26086956521739,0,3.52173913043478,0.4,1,1,7,2021-08-14
EuroCOVIDhub-baseline,LT,Deaths,2021-08-02,3,14.475652173913,0,10.5652173913043,3.9104347826087,-0.7,0,1,29,2021-08-21
IEM_Health-CovidProject,LT,Deaths,2021-08-02,3,23.985652173913,0,23.304347826087,0.681304347826087,-1,0,0,28,2021-08-21
ILM-EKF,LT,Deaths,2021-08-02,3,9.11913043478261,0,3.04347826086957,6.07565217391304,-0.4,1,1,16,2021-08-21
Karlen-pypm,LT,Deaths,2021-08-02,3,18.0078260869565,11.6521739130435,0,6.35565217391305,0.9,0,1,32,2021-08-21
MUNI-ARIMA,LT,Deaths,2021-08-02,3,19.0026086956522,0,17.2608695652174,1.74173913043478,-0.95,0,0,29,2021-08-21
RobertWalraven-ESG,LT,Deaths,2021-08-02,3,24.6647826086957,0,23.3478260869565,1.31695652173913,-1,0,0,31,2021-08-21
UMass-MechBayes,LT,Deaths,2021-08-02,3,3.94695652173913,0,0.347826086956522,3.59913043478261,-0.2,1,1,4,2021-08-21
epiforecasts-EpiNow2,LT,Deaths,2021-08-02,3,10.3339130434783,3.60869565217391,0,6.72521739130435,0.6,0,1,17,2021-08-21
EuroCOVIDhub-baseline,LT,Deaths,2021-08-02,4,24.0326086956522,0,19.304347826087,4.72826086956522,-0.8,0,1,46,2021-08-28
IEM_Health-CovidProject,LT,Deaths,2021-08-02,4,39.7913043478261,0,39,0.791304347826087,-1,0,0,45,2021-08-28
ILM-EKF,LT,Deaths,2021-08-02,4,13.905652173913,0,4.21739130434783,9.68826086956522,-0.4,1,1,23,2021-08-28
Karlen-pypm,LT,Deaths,2021-08-02,4,54.9065217391305,41,0,13.9065217391304,0.95,0,0,89,2021-08-28
MUNI-ARIMA,LT,Deaths,2021-08-02,4,32.4304347826087,0,30.304347826087,2.12608695652174,-0.98,0,0,47,2021-08-28
RobertWalraven-ESG,LT,Deaths,2021-08-02,4,40.3478260869565,0,38.8695652173913,1.47826086956522,-1,0,0,48,2021-08-28
UMass-MechBayes,LT,Deaths,2021-08-02,4,8.24,0.173913043478261,0,8.06608695652174,0.1,1,1,4,2021-08-28
epiforecasts-EpiNow2,LT,Deaths,2021-08-02,4,22.4273913043478,7.21739130434783,0,15.21,0.5,1,1,34,2021-08-28
EuroCOVIDhub-baseline,LU,Deaths,2021-08-02,1,0.714347826086956,0,0.304347826086957,0.41,-0.4,1,1,1,2021-08-07
IEM_Health-CovidProject,LU,Deaths,2021-08-02,1,0.408695652173913,0,0.217391304347826,0.191304347826087,-0.3,1,1,1,2021-08-07
ILM-EKF,LU,Deaths,2021-08-02,1,0.988695652173913,0,0,0.988695652173913,0,1,1,0,2021-08-07
Karlen-pypm,LU,Deaths,2021-08-02,1,0.786956521739131,0,0.521739130434783,0.265217391304348,-0.6,0,1,2,2021-08-07
MUNI-ARIMA,LU,Deaths,2021-08-02,1,0.630434782608695,0,0.217391304347826,0.41304347826087,-0.3,1,1,1,2021-08-07
RobertWalraven-ESG,LU,Deaths,2021-08-02,1,0.559565217391304,0,0.217391304347826,0.342173913043478,-0.3,1,1,1,2021-08-07
UMass-MechBayes,LU,Deaths,2021-08-02,1,0.398695652173913,0,0.130434782608696,0.268260869565217,-0.2,1,1,1,2021-08-07
epiforecasts-EpiNow2,LU,Deaths,2021-08-02,1,0.563913043478261,0,0.304347826086957,0.259565217391304,-0.4,1,1,1,2021-08-07
EuroCOVIDhub-baseline,LU,Deaths,2021-08-02,2,1.46434782608696,0,0.652173913043478,0.812173913043479,-0.4,1,1,3,2021-08-14
IEM_Health-CovidProject,LU,Deaths,2021-08-02,2,1.71695652173913,0,1.52173913043478,0.195217391304348,-0.9,0,1,3,2021-08-14
ILM-EKF,LU,Deaths,2021-08-02,2,1.4304347826087,0,0.260869565217391,1.1695652173913,-0.3,1,1,2,2021-08-14
Karlen-pypm,LU,Deaths,2021-08-02,2,2.34347826086957,0,2.08695652173913,0.256521739130435,-0.95,0,0,4,2021-08-14
MUNI-ARIMA,LU,Deaths,2021-08-02,2,1.44173913043478,0,0.91304347826087,0.528695652173913,-0.6,0,1,3,2021-08-14
RobertWalraven-ESG,LU,Deaths,2021-08-02,2,1.68,0,1.26086956521739,0.419130434782609,-0.8,0,1,3,2021-08-14
UMass-MechBayes,LU,Deaths,2021-08-02,2,1.78521739130435,0,1.52173913043478,0.263478260869565,-0.9,0,1,3,2021-08-14
epiforecasts-EpiNow2,LU,Deaths,2021-08-02,2,2.07869565217391,0,1.78260869565217,0.296086956521739,-0.9,0,1,3,2021-08-14
EuroCOVIDhub-baseline,LU,Deaths,2021-08-02,3,1.14826086956522,0,0.0434782608695652,1.10478260869565,-0.1,1,1,1,2021-08-21
IEM_Health-CovidProject,LU,Deaths,2021-08-02,3,0.414347826086957,0,0.130434782608696,0.283913043478261,-0.2,1,1,1,2021-08-21
ILM-EKF,LU,Deaths,2021-08-02,3,1.4795652173913,0.0434782608695652,0,1.43608695652174,0.1,1,1,1,2021-08-21
Karlen-pypm,LU,Deaths,2021-08-02,3,0.895652173913044,0,0.695652173913044,0.2,-0.7,0,1,2,2021-08-21
MUNI-ARIMA,LU,Deaths,2021-08-02,3,0.769565217391305,0,0.130434782608696,0.639130434782609,-0.2,1,1,1,2021-08-21
RobertWalraven-ESG,LU,Deaths,2021-08-02,3,0.613478260869565,0,0.130434782608696,0.48304347826087,-0.2,1,1,1,2021-08-21
UMass-MechBayes,LU,Deaths,2021-08-02,3,0.572173913043478,0,0.304347826086957,0.267826086956522,-0.4,1,1,1,2021-08-21
epiforecasts-EpiNow2,LU,Deaths,2021-08-02,3,0.871304347826087,0,0.608695652173913,0.262608695652174,-0.6,0,1,2,2021-08-21
EuroCOVIDhub-baseline,LU,Deaths,2021-08-02,4,1.35304347826087,0.0434782608695652,0,1.3095652173913,0.1,1,1,1,2021-08-28
IEM_Health-CovidProject,LU,Deaths,2021-08-02,4,0.767391304347826,0.478260869565217,0,0.289130434782609,0.6,0,1,1,2021-08-28
ILM-EKF,LU,Deaths,2021-08-02,4,2.86304347826087,1.08695652173913,0,1.77608695652174,0.8,0,1,3,2021-08-28
Karlen-pypm,LU,Deaths,2021-08-02,4,0.144782608695652,0,0,0.144782608695652,0,1,1,0,2021-08-28
MUNI-ARIMA,LU,Deaths,2021-08-02,4,0.780869565217391,0.0434782608695652,0,0.737391304347826,0.1,1,1,1,2021-08-28
RobertWalraven-ESG,LU,Deaths,2021-08-02,4,0.577391304347826,0.0434782608695652,0,0.533913043478261,0.1,1,1,1,2021-08-28
UMass-MechBayes,LU,Deaths,2021-08-02,4,0.455652173913044,0.130434782608696,0,0.325217391304348,0.2,1,1,1,2021-08-28
epiforecasts-EpiNow2,LU,Deaths,2021-08-02,4,0.319130434782609,0,0,0.319130434782609,0,1,1,0,2021-08-28
EuroCOVIDhub-baseline,LV,Cases,2021-08-02,1,53.8817391304348,0,11.2173913043478,42.664347826087,-0.5,1,1,46,2021-08-07
IEM_Health-CovidProject,LV,Cases,2021-08-02,1,32.8865217391305,0,12.3913043478261,20.4952173913044,-0.5,1,1,61,2021-08-07
ILM-EKF,LV,Cases,2021-08-02,1,193.500869565217,0,172.913043478261,20.5878260869565,-0.95,0,0,297,2021-08-07
Karlen-pypm,LV,Cases,2021-08-02,1,111.575217391304,38.695652173913,0,72.8795652173913,0.5,1,1,184,2021-08-07
MUNI-ARIMA,LV,Cases,2021-08-02,1,40.8569565217391,0,11.6086956521739,29.2482608695652,-0.4,1,1,69,2021-08-07
RobertWalraven-ESG,LV,Cases,2021-08-02,1,94.5721739130435,0,62.3913043478261,32.1808695652174,-0.8,0,1,173,2021-08-07
epiforecasts-EpiNow2,LV,Cases,2021-08-02,1,71.4808695652174,42.0869565217391,0,29.3939130434783,0.8,0,1,130,2021-08-07
EuroCOVIDhub-baseline,LV,Cases,2021-08-02,2,151.908260869565,0,68.3478260869565,83.5604347826087,-0.5,1,1,264,2021-08-14
IEM_Health-CovidProject,LV,Cases,2021-08-02,2,127.799130434783,0,92.7826086956522,35.0165217391304,-0.8,0,1,238,2021-08-14
ILM-EKF,LV,Cases,2021-08-02,2,397.362173913043,0,374.391304347826,22.9708695652174,-1,0,0,539,2021-08-14
Karlen-pypm,LV,Cases,2021-08-02,2,219.989130434783,88.2608695652174,0,131.728260869565,0.6,0,1,352,2021-08-14
MUNI-ARIMA,LV,Cases,2021-08-02,2,124.583043478261,0,70.4347826086957,54.1482608695652,-0.6,0,1,240,2021-08-14
RobertWalraven-ESG,LV,Cases,2021-08-02,2,277.352173913044,0,237.521739130435,39.8304347826087,-0.98,0,0,417,2021-08-14
epiforecasts-EpiNow2,LV,Cases,2021-08-02,2,122.691739130435,42.304347826087,0,80.3873913043478,0.5,1,1,203,2021-08-14
EuroCOVIDhub-baseline,LV,Cases,2021-08-02,3,237.074347826087,0,124.913043478261,112.161304347826,-0.6,0,1,457,2021-08-21
IEM_Health-CovidProject,LV,Cases,2021-08-02,3,215.577826086956,0,165.217391304348,50.3604347826087,-0.9,0,1,392,2021-08-21
ILM-EKF,LV,Cases,2021-08-02,3,581.348260869565,0,556.521739130435,24.8265217391304,-1,0,0,754,2021-08-21
Karlen-pypm,LV,Cases,2021-08-02,3,490.724782608696,257.652173913044,0,233.072608695652,0.8,0,1,832,2021-08-21
MUNI-ARIMA,LV,Cases,2021-08-02,3,204.97,0,123.260869565217,81.7091304347826,-0.7,0,1,401,2021-08-21
RobertWalraven-ESG,LV,Cases,2021-08-02,3,462.813043478261,0,415.826086956522,46.9869565217391,-1,0,0,634,2021-08-21
epiforecasts-EpiNow2,LV,Cases,2021-08-02,3,279.650869565217,94.0869565217391,0,185.563913043478,0.6,0,1,464,2021-08-21
EuroCOVIDhub-baseline,LV,Cases,2021-08-02,4,380.845652173913,0,248.739130434783,132.10652173913,-0.7,0,1,741,2021-08-28
IEM_Health-CovidProject,LV,Cases,2021-08-02,4,372.574347826087,0,304.782608695652,67.7917391304348,-0.9,0,1,644,2021-08-28
ILM-EKF,LV,Cases,2021-08-02,4,852.282608695652,0,826,26.2826086956522,-1,0,0,1056,2021-08-28
Karlen-pypm,LV,Cases,2021-08-02,4,947.88,549,0,398.88,0.8,0,1,1563,2021-08-28
MUNI-ARIMA,LV,Cases,2021-08-02,4,332.350434782609,0,218.304347826087,114.046086956522,-0.7,0,1,655,2021-08-28
RobertWalraven-ESG,LV,Cases,2021-08-02,4,737.956086956522,0,684.565217391304,53.3908695652174,-1,0,0,939,2021-08-28
epiforecasts-EpiNow2,LV,Cases,2021-08-02,4,526.930434782609,161.434782608696,0,365.495652173913,0.5,1,1,795,2021-08-28
EuroCOVIDhub-baseline,LV,Deaths,2021-08-02,1,2.0295652173913,1,0,1.0295652173913,0.6,0,1,3,2021-08-07
IEM_Health-CovidProject,LV,Deaths,2021-08-02,1,1.34565217391304,0.869565217391304,0,0.476086956521739,0.7,0,1,2,2021-08-07
ILM-EKF,LV,Deaths,2021-08-02,1,1.56521739130435,0.130434782608696,0,1.43478260869565,0.2,1,1,1,2021-08-07
Karlen-pypm,LV,Deaths,2021-08-02,1,1.04652173913043,0.347826086956522,0,0.698695652173913,0.4,1,1,2,2021-08-07
MUNI-ARIMA,LV,Deaths,2021-08-02,1,1.73478260869565,0.565217391304348,0,1.1695652173913,0.4,1,1,3,2021-08-07
RobertWalraven-ESG,LV,Deaths,2021-08-02,1,1.1704347826087,0,0.391304347826087,0.779130434782609,-0.3,1,1,3,2021-08-07
UMass-MechBayes,LV,Deaths,2021-08-02,1,1.09652173913043,0.521739130434783,0,0.574782608695652,0.5,1,1,2,2021-08-07
epiforecasts-EpiNow2,LV,Deaths,2021-08-02,1,2.53782608695652,1.47826086956522,0,1.0595652173913,0.7,0,1,4,2021-08-07
EuroCOVIDhub-baseline,LV,Deaths,2021-08-02,2,2.90565217391304,0.782608695652174,0,2.12304347826087,0.4,1,1,4,2021-08-14
IEM_Health-CovidProject,LV,Deaths,2021-08-02,2,2.14347826086956,1.52173913043478,0,0.621739130434783,0.9,0,1,3,2021-08-14
ILM-EKF,LV,Deaths,2021-08-02,2,1.56086956521739,0.260869565217391,0,1.3,0.3,1,1,2,2021-08-14
Karlen-pypm,LV,Deaths,2021-08-02,2,3.27521739130435,2.21739130434783,0,1.05782608695652,0.9,0,1,5,2021-08-14
MUNI-ARIMA,LV,Deaths,2021-08-02,2,2.38304347826087,0.869565217391304,0,1.51347826086957,0.5,1,1,4,2021-08-14
RobertWalraven-ESG,LV,Deaths,2021-08-02,2,1.08478260869565,0,0.173913043478261,0.910869565217391,-0.2,1,1,2,2021-08-14
UMass-MechBayes,LV,Deaths,2021-08-02,2,1.64347826086957,1,0,0.643478260869565,0.7,0,1,3,2021-08-14
epiforecasts-EpiNow2,LV,Deaths,2021-08-02,2,5.1495652173913,3.65217391304348,0,1.49739130434783,0.9,0,1,8,2021-08-14
EuroCOVIDhub-baseline,LV,Deaths,2021-08-02,3,2.99869565217391,0,0.0434782608695652,2.95521739130435,-0.1,1,1,1,2021-08-21
IEM_Health-CovidProject,LV,Deaths,2021-08-02,3,0.968260869565217,0,0.217391304347826,0.750869565217391,-0.3,1,1,1,2021-08-21
ILM-EKF,LV,Deaths,2021-08-02,3,2.10173913043478,0,0.956521739130435,1.14521739130435,-0.5,1,1,4,2021-08-21
Karlen-pypm,LV,Deaths,2021-08-02,3,2.82565217391304,1.08695652173913,0,1.73869565217391,0.5,1,1,5,2021-08-21
MUNI-ARIMA,LV,Deaths,2021-08-02,3,1.91304347826087,0,0.0434782608695652,1.8695652173913,-0.1,1,1,1,2021-08-21
RobertWalraven-ESG,LV,Deaths,2021-08-02,3,2.70782608695652,0,1.60869565217391,1.09913043478261,-0.5,1,1,7,2021-08-21
UMass-MechBayes,LV,Deaths,2021-08-02,3,1.13695652173913,0,0.434782608695652,0.702173913043478,-0.4,1,1,2,2021-08-21
epiforecasts-EpiNow2,LV,Deaths,2021-08-02,3,4.71434782608696,2.26086956521739,0,2.45347826086957,0.7,0,1,8,2021-08-21
EuroCOVIDhub-baseline,LV,Deaths,2021-08-02,4,3.66826086956522,0.0434782608695652,0,3.62478260869565,0.1,1,1,1,2021-08-28
IEM_Health-CovidProject,LV,Deaths,2021-08-02,4,0.936521739130435,0.0434782608695652,0,0.893043478260869,0.1,1,1,1,2021-08-28
ILM-EKF,LV,Deaths,2021-08-02,4,1.47478260869565,0,0.347826086956522,1.12695652173913,-0.3,1,1,2,2021-08-28
Karlen-pypm,LV,Deaths,2021-08-02,4,8.56826086956522,5.56521739130435,0,3.00304347826087,0.9,0,1,14,2021-08-28
MUNI-ARIMA,LV,Deaths,2021-08-02,4,2.10391304347826,0.0434782608695652,0,2.0604347826087,0.1,1,1,1,2021-08-28
RobertWalraven-ESG,LV,Deaths,2021-08-02,4,1.96347826086957,0,0.652173913043478,1.31130434782609,-0.3,1,1,5,2021-08-28
UMass-MechBayes,LV,Deaths,2021-08-02,4,1.0104347826087,0,0,1.0104347826087,0,1,1,0,2021-08-28
epiforecasts-EpiNow2,LV,Deaths,2021-08-02,4,11.0182608695652,6.65217391304348,0,4.36608695652174,0.9,0,1,17,2021-08-28
EuroCOVIDhub-baseline,MT,Cases,2021-08-02,1,173.101739130435,151.826086956522,0,21.275652173913,0.9,0,1,262,2021-08-07
IEM_Health-CovidProject,MT,Cases,2021-08-02,1,188.36347826087,159.304347826087,0,29.0591304347826,1,0,0,280,2021-08-07
ILM-EKF,MT,Cases,2021-08-02,1,2363.03043478261,2033.91304347826,0,329.117391304348,1,0,0,3124,2021-08-07
MUNI-ARIMA,MT,Cases,2021-08-02,1,68.5604347826087,34.4782608695652,0,34.0821739130435,0.6,0,1,125,2021-08-07
RobertWalraven-ESG,MT,Cases,2021-08-02,1,395.209130434783,349.086956521739,0,46.1221739130435,1,0,0,557,2021-08-07
epiforecasts-EpiNow2,MT,Cases,2021-08-02,1,56.464347826087,0,12,44.464347826087,-0.3,1,1,88,2021-08-07
EuroCOVIDhub-baseline,MT,Cases,2021-08-02,2,150.389130434783,108.391304347826,0,41.9978260869565,0.8,0,1,255,2021-08-14
