model,location,target_type,forecast_date,horizon,wis,overprediction,underprediction,dispersion,bias,interval_coverage_50,interval_coverage_90,ae_median,target_end_date
ILM-EKF,BE,Deaths,2021-03-15,1,29.9386956521739,0,3.30434782608696,26.634347826087,-0.3,1,1,34,2021-03-20
RobertWalraven-ESG,BE,Deaths,2021-03-15,1,31.1573913043478,0,16.9130434782609,14.244347826087,-0.7,0,1,59,2021-03-20
epiforecasts-EpiExpert,BE,Deaths,2021-03-15,1,28.2252173913044,0,22.4347826086957,5.7904347826087,-0.9,0,1,48,2021-03-20
epiforecasts-EpiNow2,BE,Deaths,2021-03-15,1,12.3808695652174,0,7.26086956521739,5.12,-0.7,0,1,23,2021-03-20
EuroCOVIDhub-baseline,BE,Deaths,2021-03-15,2,41.6904347826087,0,5.26086956521739,36.4295652173913,-0.3,1,1,39,2021-03-27
IEM_Health-CovidProject,BE,Deaths,2021-03-15,2,54.904347826087,0,44.2173913043478,10.6869565217391,-0.9,0,1,93,2021-03-27
ILM-EKF,BE,Deaths,2021-03-15,2,30.8982608695652,0,0.304347826086957,30.5939130434783,-0.1,1,1,7,2021-03-27
RobertWalraven-ESG,BE,Deaths,2021-03-15,2,32.8913043478261,0,16.2608695652174,16.6304347826087,-0.6,0,1,62,2021-03-27
epiforecasts-EpiExpert,BE,Deaths,2021-03-15,2,19.0417391304348,0,11.3913043478261,7.6504347826087,-0.7,0,1,36,2021-03-27
epiforecasts-EpiNow2,BE,Deaths,2021-03-15,2,10.8391304347826,2.65217391304348,0,8.18695652173913,0.4,1,1,17,2021-03-27
EuroCOVIDhub-baseline,BE,Deaths,2021-03-15,3,61.5560869565218,0,10.9130434782609,50.6430434782609,-0.3,1,1,79,2021-04-03
IEM_Health-CovidProject,BE,Deaths,2021-03-15,3,95.7078260869565,0,83.9565217391304,11.7513043478261,-0.98,0,0,147,2021-04-03
ILM-EKF,BE,Deaths,2021-03-15,3,38.684347826087,0,1.69565217391304,36.9886956521739,-0.2,1,1,27,2021-04-03
RobertWalraven-ESG,BE,Deaths,2021-03-15,3,60.3895652173913,0,41.5217391304348,18.8678260869565,-0.8,0,1,109,2021-04-03
epiforecasts-EpiExpert,BE,Deaths,2021-03-15,3,39.8421739130435,0,30.1304347826087,9.71173913043478,-0.9,0,1,71,2021-04-03
epiforecasts-EpiNow2,BE,Deaths,2021-03-15,3,14.0926086956522,0.260869565217391,0,13.8317391304348,0.1,1,1,6,2021-04-03
EuroCOVIDhub-baseline,BE,Deaths,2021-03-15,4,78.8782608695652,0,17.0869565217391,61.7913043478261,-0.4,1,1,117,2021-04-10
IEM_Health-CovidProject,BE,Deaths,2021-03-15,4,136.880434782609,0,124.565217391304,12.3152173913044,-0.98,0,0,197,2021-04-10
