model,location,target_type,forecast_date,horizon,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,target_end_date
median_ensemble,CZ,Deaths,2021-12-13,3,78.5713043478261,53.9191304347826,0,24.6521739130435,0.0495652173913044,0.5,129,2022-01-01
median_ensemble,DE,Deaths,2021-12-13,3,304.353913043478,173.658260869565,0,130.695652173913,0.0495652173913044,0.5,608,2022-01-01
median_ensemble,FR,Deaths,2021-12-13,3,155.783260869565,95.2615217391304,0,60.5217391304348,0.0495652173913044,0.5,286,2022-01-01
median_ensemble,GB,Deaths,2021-12-13,3,70.795,62.1210869565217,8.67391304347826,0,0.223478260869565,-0.3,79.5,2022-01-01
median_ensemble,PL,Deaths,2021-12-13,3,201.384130434783,121.905869565217,79.4782608695652,0,0.0495652173913044,-0.5,388,2022-01-01
median_ensemble,CZ,Cases,2021-12-13,4,6803.62086956522,6501.75130434783,0,301.869565217391,0.310434782608696,0.2,4687,2022-01-08
median_ensemble,DE,Cases,2021-12-13,4,55466.972173913,19084.1026086957,36382.8695652174,0,-0.211304347826087,-0.8,104310,2022-01-08
median_ensemble,FR,Cases,2021-12-13,4,1014095.73586957,34792.6054347826,979303.130434783,0,-0.559130434782609,-1,1145600,2022-01-08
median_ensemble,GB,Cases,2021-12-13,4,757222.487173913,26326.4436956522,730896.043478261,0,-0.559130434782609,-1,870935,2022-01-08
median_ensemble,PL,Cases,2021-12-13,4,9553.5347826087,6765.18695652174,0,2788.34782608696,0.136521739130435,0.4,16022,2022-01-08
median_ensemble,CZ,Deaths,2021-12-13,4,97.1495652173913,53.1713043478261,0,43.9782608695652,-0.124347826086957,0.7,149.5,2022-01-08
median_ensemble,DE,Deaths,2021-12-13,4,207.169565217391,186.908695652174,0,20.2608695652174,0.310434782608696,0.2,222,2022-01-08
median_ensemble,FR,Deaths,2021-12-13,4,209.622173913044,167.622173913043,0,42,0.136521739130435,0.4,319,2022-01-08
median_ensemble,GB,Deaths,2021-12-13,4,213.475652173913,79.7147826086957,133.760869565217,0,-0.124347826086957,-0.7,414.5,2022-01-08
median_ensemble,PL,Deaths,2021-12-13,4,207.281739130435,157.71652173913,0,49.5652173913044,0.136521739130435,0.4,314,2022-01-08
median_ensemble,CZ,Cases,2021-12-20,1,5994.3897826087,5126.58543478261,0,867.804347826087,0.223478260869565,0.3,8515.5,2021-12-25
median_ensemble,DE,Cases,2021-12-20,1,19641.0991304348,5382.51217391304,0,14258.5869565217,-0.211304347826087,0.8,39472.5,2021-12-25
median_ensemble,FR,Cases,2021-12-20,1,33761.592173913,15386.8095652174,18374.7826086957,0,-0.211304347826087,-0.8,48136,2021-12-25
median_ensemble,GB,Cases,2021-12-20,1,79746.1243478261,10721.0373913043,69025.0869565218,0,-0.385217391304348,-0.95,122919,2021-12-25
median_ensemble,PL,Cases,2021-12-20,1,6504.89760869565,3566.59326086957,0,2938.30434782609,-0.0373913043478261,0.6,12338,2021-12-25
median_ensemble,CZ,Deaths,2021-12-20,1,59.8858695652174,26.2336956521739,0,33.6521739130435,-0.211304347826087,0.8,111,2021-12-25
median_ensemble,DE,Deaths,2021-12-20,1,134.158260869565,77.0930434782609,0,57.0652173913044,-0.211304347826087,0.8,262.5,2021-12-25
median_ensemble,FR,Deaths,2021-12-20,1,66.6756521739131,22.98,0,43.695652173913,-0.211304347826087,0.8,119,2021-12-25
median_ensemble,GB,Deaths,2021-12-20,1,34.1717391304348,33.4326086956522,0,0.739130434782609,0.397391304347826,0.1,17,2021-12-25
