model,target_type,location,horizon,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,relative_skill,scaled_rel_skill
EuroCOVIDhub-baseline,Deaths,PL,2,290.594347826087,51.4915050167224,105.394648829431,133.708193979933,-0.0975919732441472,0.0155769230769231,416.173076923077,1.27287896708651,1
EuroCOVIDhub-baseline,Deaths,PL,3,425.399339464883,71.3224163879599,152.314381270903,201.76254180602,-0.133545150501672,0.0540384615384615,598.615384615385,1.29943419360371,1
EuroCOVIDhub-baseline,Deaths,PL,4,534.495727424749,86.9522491638796,188.524247491639,259.019230769231,-0.144414715719064,0.100961538461538,748.076923076923,1.19269887232842,1
FIAS_FZJ-Epi1Ger,Cases,DE,1,32655.6365468227,5532.56129598662,5108.78093645485,22014.2943143813,-0.243076923076923,0.384807692307692,45262.6153846154,1.18249168579926,1.20390071120051
FIAS_FZJ-Epi1Ger,Cases,DE,2,83741.0348160535,10209.4520401338,20097.0510033445,53434.5317725753,-0.323344481605351,0.296538461538462,109226.634615385,1.28246524728471,1.32828769208523
FIAS_FZJ-Epi1Ger,Cases,DE,3,159380.049197324,15825.5199331104,40843.0576923077,102711.471571906,-0.390234113712375,0.211730769230769,202227.173076923,1.42679992082291,1.68224236506932
FIAS_FZJ-Epi1Ger,Cases,DE,4,248418.505025084,21807.4247575251,64452.9556856187,162158.12458194,-0.368494983277592,0.1475,304453.307692308,1.55104990407289,2.10207056408175
FIAS_FZJ-Epi1Ger,Deaths,DE,1,215.208294314381,11.4867224080268,44.4130434782609,159.308528428094,-0.453779264214047,0.146538461538462,252.711538461538,1.80730333649559,2.0112608779264
FIAS_FZJ-Epi1Ger,Deaths,DE,2,381.128762541806,27.8411371237458,49.0969899665552,304.190635451505,-0.386889632107023,0.109615384615385,458.076923076923,1.75380412651274,1.8488831616918
FIAS_FZJ-Epi1Ger,Deaths,DE,3,588.503662207358,51.0705518394649,50.0225752508361,487.410535117057,-0.350100334448161,0.106538461538462,715.615384615385,1.89519873662075,2.06372566717672
FIAS_FZJ-Epi1Ger,Deaths,DE,4,870.151538461539,81.5955183946488,57.9322742474917,730.623745819398,-0.346755852842809,0.164807692307692,1068.67307692308,2.05554405481087,2.48385659478295
HZI-AgeExtendedSEIR,Cases,DE,1,15191.3714177694,4717.89693761815,4456.84877126654,6016.62570888469,-0.099773156899811,0.0691304347826087,22569.4782608696,0.621904974287303,0.633164570909907
HZI-AgeExtendedSEIR,Cases,DE,2,43651.6381758034,8784.63534026465,20740.8062381853,14126.1965973535,-0.205633270321361,0.01,63296.847826087,0.767687189357511,0.79511662959605
HZI-AgeExtendedSEIR,Cases,DE,3,87862.9599338374,15977.1612570888,47308.1635160681,24577.6351606805,-0.286918714555766,-0.10804347826087,127457.5,0.857946313327469,1.01154591766594
HZI-AgeExtendedSEIR,Cases,DE,4,124541.241502836,24090.8596502836,66226.2655954631,34224.1162570889,-0.285028355387524,-0.157173913043478,188159.347826087,0.839169856997154,1.13729045727436
HZI-AgeExtendedSEIR,Deaths,DE,1,60.4956899810964,22.9351984877127,16.2258979206049,21.3345935727788,-0.0033648393194707,0.033695652173913,87.1086956521739,0.593049210628634,0.659975916569338
HZI-AgeExtendedSEIR,Deaths,DE,2,104.938525519849,38.1493005671078,15.523629489603,51.265595463138,0.0193194706994329,0.0597826086956522,156.630434782609,0.595736923322768,0.628033626833609
