ensid,model,modelid,k
36,MOCOS-agent1,8,12
36,epiforecasts-EpiExpert,9,12
36,epiforecasts-EpiNow2,10,12
36,UMass-MechBayes,11,12
36,epiforecasts-EpiExpert_Rt,12,12
37,EuroCOVIDhub-baseline,1,12
37,ICM-agentModel,2,12
37,IEM_Health-CovidProject,3,12
37,ILM-EKF,4,12
37,ITWW-county_repro,5,12
37,MIMUW-StochSEIR,6,12
37,MIT_CovidAnalytics-DELPHI,7,12
37,MOCOS-agent1,8,12
37,epiforecasts-EpiExpert,9,12
37,epiforecasts-EpiNow2,10,12
37,UMass-MechBayes,11,12
37,epiforecasts-EpiExpert_direct,12,12
38,EuroCOVIDhub-baseline,1,12
38,ICM-agentModel,2,12
38,IEM_Health-CovidProject,3,12
38,ILM-EKF,4,12
38,ITWW-county_repro,5,12
38,MIMUW-StochSEIR,6,12
38,MIT_CovidAnalytics-DELPHI,7,12
38,MOCOS-agent1,8,12
38,epiforecasts-EpiExpert,9,12
38,epiforecasts-EpiNow2,10,12
38,UMass-MechBayes,11,12
38,MUNI-ARIMA,12,12
39,EuroCOVIDhub-baseline,1,12
39,ICM-agentModel,2,12
39,IEM_Health-CovidProject,3,12
39,ILM-EKF,4,12
39,ITWW-county_repro,5,12
39,MIMUW-StochSEIR,6,12
39,MIT_CovidAnalytics-DELPHI,7,12
39,MOCOS-agent1,8,12
39,epiforecasts-EpiExpert,9,12
39,epiforecasts-EpiNow2,10,12
39,UMass-MechBayes,11,12
39,Karlen-pypm,12,12
40,EuroCOVIDhub-baseline,1,12
40,ICM-agentModel,2,12
40,IEM_Health-CovidProject,3,12
40,ILM-EKF,4,12
40,ITWW-county_repro,5,12
40,MIMUW-StochSEIR,6,12
40,MIT_CovidAnalytics-DELPHI,7,12
40,MOCOS-agent1,8,12
40,epiforecasts-EpiExpert,9,12
40,epiforecasts-EpiNow2,10,12
40,epiforecasts-EpiExpert_Rt,11,12
40,epiforecasts-EpiExpert_direct,12,12
41,EuroCOVIDhub-baseline,1,12
41,ICM-agentModel,2,12
41,IEM_Health-CovidProject,3,12
41,ILM-EKF,4,12
41,ITWW-county_repro,5,12
41,MIMUW-StochSEIR,6,12
41,MIT_CovidAnalytics-DELPHI,7,12
41,MOCOS-agent1,8,12
41,epiforecasts-EpiExpert,9,12
41,epiforecasts-EpiNow2,10,12
41,epiforecasts-EpiExpert_Rt,11,12
41,MUNI-ARIMA,12,12
42,EuroCOVIDhub-baseline,1,12
42,ICM-agentModel,2,12
42,IEM_Health-CovidProject,3,12
42,ILM-EKF,4,12
42,ITWW-county_repro,5,12
42,MIMUW-StochSEIR,6,12
42,MIT_CovidAnalytics-DELPHI,7,12
42,MOCOS-agent1,8,12
